#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
70,best clean non toxic body lotion,us,,,,,,,,,,,2022-10-09,,,,
71,clean girl body lotion,us,,,,,,,,10,,,2024-06-06,,,,
72,fresh and clean body lotion,us,,,,,,,,10,,,2018-12-16,,,,
73,clean body lotion walmart,us,,,,,,,,,,,2025-06-02,,,,
74,is eos body lotion clean,us,,,,,,,,,,,2025-06-14,,,,
75,victoria's secret fresh & clean body lotion,us,,,,,,,,,,,2025-06-19,,,,
76,victoria secret pink fresh and clean body lotion,us,,,,,,,,,,,2015-12-16,,,,
77,squeakgi clean victory 4oz body lotion,us,,,,,,,,,,,2025-10-12,,,,
78,victoria's secret pink fresh & clean body lotion,us,,,,,,,,10,,,2015-12-14,,,,
79,clean moisturizing body lotion,us,,,,,,,,,,,2025-09-29,,,,
80,clean natural body lotion,us,,,,,,,,,,,2021-08-30,,,,
81,mrs meyer's clean day body lotion,us,,,,,,,,,,,2019-10-08,"Informational,Commercial,Transactional,Branded,Non-local",English,,
82,clean shower fresh body lotion by clean 6.8 oz,us,,,,,,,,,,,2021-06-21,,,,
83,the clean standard body lotion,us,,,,,,,,,,,2021-09-19,,,,
84,affordable clean body lotion,us,,,,,,,,,,,2023-06-11,,,,
85,live clean body lotion review,us,,,,,,,,10,,,2020-02-15,,,,
86,clean shower fresh body lotion,us,,,,,,,,,,,2020-06-14,"Informational,Commercial,Transactional,Branded,Non-local",English,,
87,pink fresh & clean body lotion,us,,,,,,,,,,,2018-02-06,,,,
88,clean slate body lotion,us,,,,,,,,,,,2021-08-15,,,,
89,clean cotton body lotion,us,,,,,,,,10,,,2023-12-29,,,,
90,clean reserve body lotion,us,,,,,,,,10,,,2022-10-28,,,,
91,most popular clean body lotion brand,us,,,,,,,,,,,2025-10-31,,,,
92,meyer's clean day body lotion,us,,,,,,,,,,,2019-11-04,,,,
93,is native body lotion clean,us,,,,,,,,,,,2026-01-20,,,,
94,best clean beauty vegan body lotion 2025 2026,us,,,,,,,,,,,2026-01-26,,,,
95,live clean coconut milk body lotion,us,0,,0.35,,live clean coconut milk body lotion,2026-03-02 19:43:36,"Thumbnail,People also ask",10,0,0,2018-12-11,"Informational,Commercial,Transactional,Branded,Non-local",English,,
96,best clean body lotion for pregnancy,us,,,,,,,,,,,2026-02-10,,,,
97,best clean body lotion at target,us,,,,,,,,,,,2025-06-01,,,,
98,dove men+care clean comfort body lotion,us,,,,,,,,,,,2025-06-11,,,,
99,clean body lotion warm cotton,us,,,,,,,,10,,,2020-09-27,,,,
100,clean reserve warm cotton body lotion,us,,,,,,,,,,,2025-06-20,,,,
101,clean warm cotton soft body lotion,us,,,,,,,,,,,2019-02-12,"Informational,Commercial,Transactional,Branded,Non-local",English,,
102,clean on me body lotion,us,,,,,,,,,,,2020-11-04,,,,
103,squeakgi clean victory! 4oz body lotion,us,,,,,,,,,,,2025-10-29,,,,
104,ulta simply clean body lotion,us,,,,,,,,,,,2016-05-05,,,,
105,natural clean body lotion,us,,,,,,,,,,,2024-11-22,,,,
106,best clean body lotion for women,us,,,,,,,,,,,2025-11-29,,,,
107,clean reserve skin body lotion,us,,,,,,,,10,,,2025-05-20,,,,
108,clean body lotion ewg,us,,,,,,,,,,,2025-10-30,,,,
109,clean cotton scented body lotion (unisex) reviews,us,,,,,,,,,,,2025-08-29,,,,
110,clean fresh laundry body lotion,us,,,,,,,,,,,2020-01-22,"Informational,Commercial,Transactional,Branded,Non-local",English,,
111,body lotion pink fresh & clean,us,,,,,,,,,,,2023-11-04,,,,
112,bath and body works clean ingredients body lotion,us,,,,,,,,,,,2025-12-21,,,,
113,live clean intense moisture body lotion,us,,,,,,,,20,,,2021-08-03,,,,
114,clean cool cotton body lotion,us,,,,,,,,,,,2019-02-12,,,,
115,live clean fresh water body lotion,us,,,,,,,,,,,2020-03-29,"Informational,Commercial,Transactional,Branded,Non-local",English,,
116,clean body lotion for pregnancy,us,,,1.60,,,,,,,,2022-12-03,,,,
117,clean body lotion for men,us,,,,,,,,,,,2026-01-17,,,,
118,clean reserve buriti hydrating body lotion,us,,,,,,,,,,,2025-07-07,,,,
119,clean pregnancy-safe body lotion,us,,,,,,,,,,,2023-03-03,,,,
120,clean kids body lotion,us,,,,,,,,,,,2025-02-02,,,,
121,fresh clean body lotion,us,,,,,,,,,,,2024-06-23,,,,
122,live clean bali oil body lotion,us,,,,,,,,10,,,2018-11-01,,,,
123,ren clean skincare moroccan rose otto body lotion,us,,,,,,,,,,,2022-02-27,,,,
124,best clean body lotion for sensitive skin,us,,,,,,,,,,,2025-01-22,,,,
125,clean retinol body lotion,us,,,,,,,,,,,2023-05-20,,,,
126,clean brand body lotion,us,,,,,,,,,,,2024-11-13,,,,
